PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,SG,Khyri Thomas (11932615),Khyri Thomas,11932615,SG/G/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,DET,5.82
,,,,,,,,,PF/C,Henry Ellenson (11932618),Henry Ellenson,11932618,PF/C/F/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,DET,12.88
,,,,,,,,,SF/PF,Glenn Robinson III (11932622),Glenn Robinson III,11932622,SF/PF/F/UTIL,3000,DET@SAC 01/10/2019 10:00PM ET,DET,8.14
,,,,,,,,,SG/SF,Hamidou Diallo (11932626),Hamidou Diallo,11932626,SG/SF/F/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,OKC,9.62
,,,,,,,,,SG/SF,Timothe Luwawu-Cabarrot (11932631),Timothe Luwawu-Cabarrot,11932631,SG/SF/F/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,OKC,4.01
,,,,,,,,,PG/SG,Deonte Burton (11932636),Deonte Burton,11932636,PG/SG/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,OKC,6.07
,,,,,,,,,SF/PF,Donte Grantham (11932640),Donte Grantham,11932640,SF/PF/F/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,OKC,0
,,,,,,,,,SG/SF,Andre Roberson (11932644),Andre Roberson,11932644,SG/SF/F/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,OKC,0
,,,,,,,,,PG/SG,Raymond Felton (11932649),Raymond Felton,11932649,PG/SG/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,OKC,10.28
,,,,,,,,,SF/PF,Dante Cunningham (11932653),Dante Cunningham,11932653,SF/PF/F/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,12.26
,,,,,,,,,SF,Quincy Pondexter (11932657),Quincy Pondexter,11932657,SF/F/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,5.58
,,,,,,,,,PF/C,Drew Eubanks (11932660),Drew Eubanks,11932660,PF/C/F/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,4.72
,,,,,,,,,PF/C,Chimezie Metu (11932664),Chimezie Metu,11932664,PF/C/F/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,5.67
,,,,,,,,,PG,Dejounte Murray (11932668),Dejounte Murray,11932668,PG/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,0
,,,,,,,,,PF,Ben Moore (11932671),Ben Moore,11932671,PF/F/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,0
,,,,,,,,,PG/SG,Lonnie Walker IV (11932674),Lonnie Walker IV,11932674,PG/SG/G/UTIL,3000,OKC@SA 01/10/2019 09:30PM ET,SA,4.75
